product_price_id,price,seller_id,register_on,product_id
103,301.10,7,2018-11-27T20:02:04Z,94
107,32.15,6,2019-03-18T22:40:57Z,71
103,278.78,15,2019-08-07T00:07:41Z,75
108,496.02,5,2019-06-19T14:23:49Z,91
103,390.12,1,2019-02-22T07:59:25Z,65
115,44.01,10,2019-01-28T07:48:06Z,92
100,888.07,14,2019-01-03T03:25:47Z,78
113,814.12,1,2019-06-24T03:21:48Z,61
101,677.84,1,2019-10-14T08:29:38Z,97
101,387.19,7,2020-02-01T17:22:17Z,98
102,58.73,5,2019-08-21T18:54:21Z,65
104,202.43,5,2019-06-04T09:37:59Z,80
106,47.61,15,2019-11-09T16:13:36Z,68
108,103.60,8,2019-11-23T00:33:54Z,64
115,107.91,5,2019-07-17T06:44:25Z,92
111,864.60,1,2019-02-26T16:14:57Z,86
104,145.88,15,2019-05-23T11:11:20Z,89
105,271.95,9,2018-11-04T22:36:21Z,67
106,673.49,7,2019-09-17T13:39:06Z,74
113,391.48,7,2018-11-23T09:52:42Z,95
109,930.91,13,2019-03-09T06:28:23Z,85
104,96.52,2,2019-12-02T22:12:41Z,83
115,614.04,15,2019-11-02T12:50:30Z,96
101,720.61,15,2019-04-06T03:07:15Z,69
107,600.85,9,2019-07-01T07:11:25Z,68
113,471.73,14,2018-12-05T06:56:29Z,83
111,212.27,8,2018-10-29T08:24:53Z,70
107,164.91,1,2019-08-29T12:34:42Z,81
101,811.75,12,2019-09-06T07:08:14Z,68
111,701.40,9,2019-06-07T11:52:02Z,94
114,378.30,8,2019-07-03T18:21:19Z,81
101,750.24,9,2019-01-26T23:04:24Z,71
100,749.75,1,2019-04-17T15:07:11Z,71
115,499.62,2,2020-01-26T15:04:01Z,92
109,386.95,7,2019-03-18T23:50:48Z,88
101,773.98,8,2018-11-24T04:38:02Z,96
107,53.23,1,2019-07-25T17:46:00Z,62
113,429.58,12,2019-05-31T14:09:44Z,81
103,944.23,14,2019-10-24T06:02:58Z,92
101,110.87,7,2019-08-21T05:02:23Z,95
104,317.99,2,2018-11-19T08:03:34Z,95
109,282.05,14,2019-01-04T13:45:16Z,95
103,926.30,15,2019-08-11T05:50:22Z,86
106,355.15,15,2019-07-08T19:02:10Z,92
106,61.65,8,2019-11-12T00:13:09Z,64
101,363.38,14,2019-03-21T10:25:01Z,94
114,915.71,2,2019-10-26T17:08:11Z,66
108,220.41,15,2020-01-12T14:54:17Z,79
111,931.60,12,2019-03-12T06:02:31Z,70
110,904.96,10,2019-07-25T05:05:47Z,80
107,317.89,2,2019-12-19T16:16:44Z,69
104,475.10,13,2019-10-07T14:47:43Z,66
106,287.99,15,2020-01-18T05:45:41Z,93
113,47.55,10,2019-10-21T01:30:45Z,81
115,810.68,5,2019-03-01T15:22:55Z,76
110,836.61,14,2019-04-18T11:40:50Z,94
112,385.87,15,2019-02-19T00:43:03Z,74
108,55.20,2,2019-08-20T12:11:25Z,72
112,193.81,5,2019-12-05T13:53:19Z,70
112,791.94,15,2019-11-26T02:33:46Z,64
108,467.72,7,2020-01-30T01:56:26Z,67
111,466.38,8,2019-06-06T05:13:05Z,65
103,22.95,14,2019-11-13T21:48:24Z,69
114,533.02,1,2019-07-28T03:16:44Z,82
114,675.95,6,2019-12-12T13:43:57Z,74
112,966.81,1,2019-06-30T11:30:08Z,76
104,922.52,14,2019-10-17T04:09:42Z,80
110,737.14,2,2019-05-02T18:15:43Z,73
103,462.85,7,2019-08-06T05:28:13Z,78
100,656.57,14,2019-08-11T17:49:53Z,72
114,261.70,8,2019-11-24T22:26:31Z,88
100,332.52,9,2018-10-10T23:15:52Z,74
106,113.72,10,2019-06-23T20:20:25Z,76
111,583.24,13,2019-06-22T13:08:56Z,60
105,513.30,1,2018-12-14T00:36:22Z,68
108,51.49,14,2019-11-19T02:33:01Z,86
100,325.70,1,2018-11-07T16:51:07Z,61
109,827.92,9,2018-12-04T03:12:54Z,93
101,841.25,8,2019-05-13T15:21:45Z,89
106,594.90,15,2020-01-31T03:15:17Z,85
105,465.73,14,2018-10-03T23:45:09Z,66
101,276.93,9,2019-06-28T08:44:36Z,90
101,507.53,10,2019-09-18T16:41:22Z,90
107,440.92,1,2019-12-26T18:38:01Z,92
108,358.47,5,2019-07-30T07:35:44Z,72
109,733.73,8,2019-02-05T03:30:34Z,77
112,610.13,13,2019-05-12T06:53:22Z,75
104,914.04,1,2019-10-03T03:35:15Z,90
115,410.79,1,2019-08-25T19:50:34Z,60
104,987.66,5,2018-11-17T01:32:32Z,81
113,957.84,1,2019-08-12T00:27:00Z,68
112,698.72,9,2019-11-24T00:59:20Z,87
108,627.82,15,2019-04-21T19:18:04Z,99
103,143.69,9,2019-01-30T06:04:08Z,76
103,63.20,7,2020-02-08T02:06:12Z,77
104,871.15,7,2018-12-15T05:47:13Z,62
107,401.74,1,2019-06-16T06:58:07Z,96
113,170.30,14,2018-10-26T10:09:57Z,99
109,105.26,13,2019-05-06T16:21:45Z,80
100,993.30,14,2019-11-21T07:21:04Z,78
110,803.66,14,2019-05-26T18:46:58Z,68
105,412.67,5,2019-06-18T16:53:14Z,61
108,752.18,2,2019-12-24T05:58:37Z,85
106,216.09,12,2019-02-01T04:02:59Z,90
106,805.50,7,2019-02-04T03:04:48Z,94
108,682.54,14,2019-09-29T01:01:35Z,73
111,890.42,6,2019-01-01T14:59:44Z,61
110,464.47,1,2019-10-06T08:51:11Z,65
105,382.04,13,2019-08-23T17:17:30Z,97
107,376.78,9,2020-01-06T21:27:41Z,67
114,642.96,14,2018-10-11T14:29:22Z,68
104,901.57,1,2019-10-26T01:49:32Z,72
102,502.80,2,2020-01-07T23:16:51Z,70
115,775.96,12,2019-05-03T17:59:29Z,79
111,559.45,1,2019-07-04T06:36:03Z,98
104,24.21,14,2019-03-30T13:32:52Z,80
102,925.10,7,2019-02-23T00:39:14Z,96
103,277.09,14,2019-11-27T18:22:35Z,94
107,379.74,15,2018-11-21T06:40:57Z,74
103,11.26,5,2019-05-10T18:14:10Z,84
109,309.94,1,2019-03-06T22:01:47Z,75
115,545.04,5,2018-12-30T18:43:34Z,97
102,412.49,5,2019-02-05T05:54:31Z,97
101,254.30,10,2019-12-22T09:35:07Z,97
